state_name,median_hh_income,state,year,pct_bachelors_or_higher
Alabama,43160,01,2012,22.3
Alabama,52035,01,2020,26.2
Alaska,69917,02,2012,27.5
Alaska,77790,02,2020,30.0
Arizona,50256,04,2012,26.6
Arizona,61529,04,2020,30.3
Arkansas,40531,05,2012,19.8
Arkansas,49475,05,2020,23.8
California,61400,06,2012,30.5
California,78672,06,2020,34.7
Colorado,58244,08,2012,36.7
Colorado,75231,08,2020,41.6
Connecticut,69519,09,2012,36.2
Connecticut,79855,09,2020,40.0
Delaware,60119,10,2012,28.5
Delaware,69110,10,2020,32.7
District of Columbia,64267,11,2012,51.2
District of Columbia,90842,11,2020,59.8
Florida,47309,12,2012,26.2
Florida,57703,12,2020,30.5
Georgia,49604,13,2012,27.8
Georgia,61224,13,2020,32.2
Hawaii,67492,15,2012,29.6
Hawaii,83173,15,2020,33.6
Idaho,47015,16,2012,24.7
Idaho,58915,16,2020,28.7
Illinois,56853,17,2012,31.1
Illinois,68428,17,2020,35.5
Indiana,48374,18,2012,23.0
Indiana,58235,18,2020,27.2
Iowa,51129,19,2012,25.3
Iowa,61836,19,2020,29.3
Kansas,51273,20,2012,30.0
Kansas,61091,20,2020,33.9
Kentucky,42610,21,2012,21.0
Kentucky,52238,21,2020,25.0
Louisiana,44673,22,2012,21.4
Louisiana,50800,22,2020,24.9
Maine,48219,23,2012,27.3
Maine,59489,23,2020,32.5
Maryland,72999,24,2012,36.3
Maryland,87063,24,2020,40.9
Massachusetts,66658,25,2012,39.0
Massachusetts,84385,25,2020,44.5
Michigan,48471,26,2012,25.5
Michigan,59234,26,2020,30.0
Minnesota,59126,27,2012,32.2
Minnesota,73382,27,2020,36.8
Mississippi,38882,28,2012,20.0
Mississippi,46511,28,2020,22.8
Missouri,47333,29,2012,25.8
Missouri,57290,29,2020,29.9
Montana,45456,30,2012,28.5
Montana,56539,30,2020,33.1
Nebraska,51381,31,2012,28.1
Nebraska,63015,31,2020,32.5
Nevada,54083,32,2012,22.2
Nevada,62043,32,2020,25.5
New Hampshire,64925,33,2012,33.4
New Hampshire,77923,33,2020,37.6
New Jersey,71637,34,2012,35.4
New Jersey,85245,34,2020,40.7
New Mexico,44886,35,2012,25.6
New Mexico,51243,35,2020,28.1
New York,57683,36,2012,32.8
New York,71117,36,2020,37.5
North Carolina,46450,37,2012,26.8
North Carolina,56642,37,2020,32.0
North Dakota,51641,38,2012,27.1
North Dakota,65315,38,2020,30.7
Ohio,48246,39,2012,24.7
Ohio,58116,39,2020,28.9
Oklahoma,44891,40,2012,23.2
Oklahoma,53840,40,2020,26.1
Oregon,50036,41,2012,29.2
Oregon,65667,41,2020,34.4
Pennsylvania,52267,42,2012,27.0
Pennsylvania,63627,42,2020,32.3
Puerto Rico,19515,72,2012,
Puerto Rico,21058,72,2020,
Rhode Island,56102,44,2012,30.8
Rhode Island,70305,44,2020,35.0
South Carolina,44623,45,2012,24.6
South Carolina,54864,45,2020,29.0
South Dakota,49091,46,2012,26.0
South Dakota,59896,46,2020,29.3
Tennessee,44140,47,2012,23.5
Tennessee,54833,47,2020,28.2
Texas,51563,48,2012,26.3
Texas,63826,48,2020,30.7
Utah,58164,49,2012,29.9
Utah,74197,49,2020,34.7
Vermont,54168,50,2012,34.2
Vermont,63477,50,2020,39.7
Virginia,63636,51,2012,34.7
Virginia,76398,51,2020,39.5
Washington,59374,53,2012,31.6
Washington,77006,53,2020,36.7
West Virginia,40400,54,2012,17.9
West Virginia,48037,54,2020,21.3
Wisconsin,52627,55,2012,26.4
Wisconsin,63293,55,2020,30.8
Wyoming,56573,56,2012,24.3
Wyoming,65304,56,2020,28.2
