state_name,state,year,turnout_rate
Alabama,01,2012,58.6
Alabama,01,2020,66.21
Alaska,02,2012,58.7
Alaska,02,2020,68.41
Arizona,04,2012,52.6
Arizona,04,2020,65.27
Arkansas,05,2012,50.7
Arkansas,05,2020,55.86
California,06,2012,55.1
California,06,2020,67.41
Colorado,08,2012,69.9
Colorado,08,2020,75.51
Connecticut,09,2012,61.3
Connecticut,09,2020,70.07
Delaware,10,2012,62.3
Delaware,10,2020,70.0
District of Columbia,11,2012,61.5
District of Columbia,11,2020,63.69
Florida,12,2012,62.8
Florida,12,2020,71.17
Georgia,13,2012,59.0
Georgia,13,2020,67.72
Hawaii,15,2012,44.2
Hawaii,15,2020,57.0
Idaho,16,2012,59.8
Idaho,16,2020,67.15
Illinois,17,2012,58.9
Illinois,17,2020,66.84
Indiana,18,2012,55.2
Indiana,18,2020,60.66
Iowa,19,2012,70.3
Iowa,19,2020,72.85
Kansas,20,2012,56.9
Kansas,20,2020,65.79
Kentucky,21,2012,55.7
Kentucky,21,2020,64.51
Louisiana,22,2012,60.2
Louisiana,22,2020,63.67
Maine,23,2012,68.2
Maine,23,2020,75.51
Maryland,24,2012,66.6
Maryland,24,2020,70.41
Massachusetts,25,2012,65.9
Massachusetts,25,2020,71.58
Michigan,26,2012,64.7
Michigan,26,2020,73.37
Minnesota,27,2012,76.0
Minnesota,27,2020,79.57
Mississippi,28,2012,59.3
Mississippi,28,2020,59.67
Missouri,29,2012,62.2
Missouri,29,2020,65.74
Montana,30,2012,62.5
Montana,30,2020,72.33
Nebraska,31,2012,60.3
Nebraska,31,2020,69.13
Nevada,32,2012,56.4
Nevada,32,2020,65.25
New Hampshire,33,2012,70.2
New Hampshire,33,2020,74.58
New Jersey,34,2012,61.5
New Jersey,34,2020,73.87
New Mexico,35,2012,54.6
New Mexico,35,2020,60.97
New York,36,2012,53.1
New York,36,2020,63.03
North Carolina,37,2012,64.8
North Carolina,37,2020,71.2
North Dakota,38,2012,59.8
North Dakota,38,2020,64.02
Ohio,39,2012,64.5
Ohio,39,2020,66.85
Oklahoma,40,2012,49.2
Oklahoma,40,2020,54.84
Oregon,41,2012,63.1
Oregon,41,2020,74.28
Pennsylvania,42,2012,59.5
Pennsylvania,42,2020,70.69
Rhode Island,44,2012,58.0
Rhode Island,44,2020,64.75
South Carolina,45,2012,56.3
South Carolina,45,2020,64.01
South Dakota,46,2012,59.3
South Dakota,46,2020,65.21
Tennessee,47,2012,51.9
Tennessee,47,2020,59.59
Texas,48,2012,49.6
Texas,48,2020,60.24
Utah,49,2012,55.5
Utah,49,2020,67.91
Vermont,50,2012,60.7
Vermont,50,2020,73.5
Virginia,51,2012,66.1
Virginia,51,2020,71.99
Washington,53,2012,64.8
Washington,53,2020,75.17
West Virginia,54,2012,46.3
West Virginia,54,2020,57.0
Wisconsin,55,2012,72.9
Wisconsin,55,2020,75.5
Wyoming,56,2012,58.6
Wyoming,56,2020,64.16
