state_name,year,id_stringency_tier,tier_label,verified,source_note
California,2012,0,No ID required,True,No ID required (Ballotpedia 2012)
California,2020,0,No ID required,False,Default: current NCSL 'no document' bucket
Illinois,2012,0,No ID required,True,No ID required (Ballotpedia 2012)
Illinois,2020,0,No ID required,False,Default: current NCSL 'no document' bucket
Maine,2012,0,No ID required,True,No ID required (Ballotpedia 2012)
Maine,2020,0,No ID required,False,Default: current NCSL 'no document' bucket
Massachusetts,2012,0,No ID required,True,No ID required (Ballotpedia 2012)
Massachusetts,2020,0,No ID required,False,Default: current NCSL 'no document' bucket
Nevada,2012,0,No ID required,True,No ID required (Ballotpedia 2012)
Nevada,2020,0,No ID required,False,Default: current NCSL 'no document' bucket
New Hampshire,2012,0,No ID required,True,Law passed 2012 but effective date pushed to 2013
New Hampshire,2020,1,ID requested/non-strict,False,Default: current NCSL non-strict bucket
North Carolina,2012,0,No ID required,True,No ID required (Ballotpedia 2012)
North Carolina,2020,0,No ID required,True,2018 law blocked by courts through 2020 general election
Maryland,2012,1,ID requested/non-strict,True,Select voters required ID (Ballotpedia 2012)
Maryland,2020,0,No ID required,False,Default: current NCSL 'no document' bucket
Nebraska,2012,1,ID requested/non-strict,True,Select voters required ID (Ballotpedia 2012)
Nebraska,2020,1,ID requested/non-strict,False,"NCSL: enacted stricter law after 2020, verify pre-2020 status"
Pennsylvania,2012,1,ID requested/non-strict,True,Strict law passed but blocked by courts before election
Pennsylvania,2020,0,No ID required,False,Default: current NCSL 'no document' bucket
Connecticut,2012,1,ID requested/non-strict,True,Select voters required ID (Ballotpedia 2012)
Connecticut,2020,1,ID requested/non-strict,False,Default: current NCSL non-strict bucket
New Jersey,2012,1,ID requested/non-strict,True,Select voters required ID (Ballotpedia 2012)
New Jersey,2020,0,No ID required,False,Default: current NCSL 'no document' bucket
Iowa,2012,1,ID requested/non-strict,True,Select voters required ID (Ballotpedia 2012)
Iowa,2020,1,ID requested/non-strict,False,Default: current NCSL non-strict bucket
Minnesota,2012,1,ID requested/non-strict,True,Select voters required ID (Ballotpedia 2012)
Minnesota,2020,0,No ID required,False,Default: current NCSL 'no document' bucket
Texas,2012,1,ID requested/non-strict,True,Strict photo law blocked by courts for 2012 election
Texas,2020,1,ID requested/non-strict,False,Default: current NCSL non-strict photo bucket
Wisconsin,2012,1,ID requested/non-strict,True,Strict photo law blocked by courts for 2012 election
Wisconsin,2020,2,Strict ID required,True,"Strict law finally implemented starting 2016, in effect by 2020"
Georgia,2012,2,Strict ID required,True,Strict photo ID in effect since 2008 (Crawford v. Marion)
Georgia,2020,2,Strict ID required,True,Same strict law remained in effect
Indiana,2012,2,Strict ID required,True,Strict photo ID in effect since 2008 (Crawford v. Marion)
Indiana,2020,2,Strict ID required,True,Same strict law remained in effect
Kansas,2012,2,Strict ID required,True,Strict photo ID law took effect Jan 2012
Kansas,2020,2,Strict ID required,True,Same strict law remained in effect
Tennessee,2012,2,Strict ID required,True,Strict photo ID law took effect 2012
